algorithm,function,dim,max_eval,mean,std,min,max,avg_nearest_neighbor_distance_mean,dispersion_mean,avg_exploration_pct_mean,avg_distance_to_best_mean,intensification_ratio_mean,avg_exploitation_pct_mean,average_convergence_rate_mean,avg_improvement_mean,success_rate_mean,longest_no_improvement_streak_mean,last_improvement_fraction_mean
AdaptiveDifferentialEvolutionPSO,F42022,10,200000,833.2453910645643,9.00779102734687,824.3716329116417,847.9239072979465,10.647078184981194,271.01644399918996,8.665369368464429,18.054008710775022,0.7617966313162821,91.33463063153557,0.9947811213389193,20.025895343820594,0.0036685799850262038,4025.2,0.5022710257050162
AdaptiveDifferentialEvolutionPSO,F52022,10,200000,900.0,0.0,900.0,900.0,2.820322648810535,253.90509238308982,1.9231101033911977,3.222732464161139,0.9647910168434185,98.0768898966088,0.9950695554838088,0.3441706066584628,0.01360119790366858,5988.8,0.7472922385824807
AdaptiveDifferentialEvolutionPSO,F62022,10,200000,4918.816252436719,2427.1150675591152,2414.4980722755517,8182.715898169481,9.573840980033982,286.1830718657868,10.61769154284104,20.442224397599528,0.22612601372426697,89.38230845715896,0.9926081675308677,93783816.95720255,0.03798352882455703,398.6,0.002645370601447467
AdaptiveDifferentialEvolutionPSO,F72022,10,200000,2040.9842304163437,43.97100161049231,2020.246436413856,2119.6234111710487,9.28366638348783,283.1088250423205,14.655358933907735,31.392578454429678,0.4479600748596382,85.34464106609227,0.9942725793337484,507.69898986267845,0.009982530571499875,2262.0,0.16982780134764164
AdaptiveDifferentialEvolutionPSO,F82022,10,200000,2221.94306374446,0.7198627952009415,2220.6668800118464,2222.3363203961753,7.757623668821222,292.47196007333037,11.10161708453372,25.253568879404547,0.6671241422333125,88.89838291546627,0.9901839358232835,5.020286216439611e+18,0.004467182430746194,3531.8,0.23953082106313955
AdaptiveDifferentialEvolutionPSO,F92022,10,200000,2667.1357248274494,8.119697108407145,2659.0943447803597,2678.1252443440962,3.7298544065311967,290.4144395404643,5.295220421904401,9.2769110840832,0.7488708671241422,94.7047795780956,0.994394672943646,165.4688595435676,0.012153730970801097,4511.8,0.40062390816071874
AdaptiveDifferentialEvolutionPlus,F102022,10,200000,2615.443894289495,12.908249571278525,2592.3613138020983,2621.81329002824,12.859332682285366,227.50788810664864,47.89346409780825,108.23739300868002,0.14960629921259844,52.10653590219175,0.9944720123774339,67.98900964263206,0.0077,1218.2,0.0191
AdaptiveDifferentialEvolutionPlus,F112022,10,200000,2600.0000385201565,8.478351378313193e-05,2600.0000000000005,2600.0001901746605,7.362757355998264,256.59678736745184,44.793784921781345,127.42331255608914,0.44801899762529684,55.206215078218655,0.9943420021277596,93.8666079554147,0.023899999999999998,849.0,0.08555
AdaptiveDifferentialEvolutionPlus,F12022,10,200000,300.0000000000143,2.7961430274952526e-11,300.0,300.00000000006423,6.7909278643931685,227.1435493257939,24.50568675954305,47.613674391618794,0.4928883889513811,75.49431324045695,0.9931803927364777,2539462.521810161,0.030199999999999998,312.6,0.017325
AdaptiveDifferentialEvolutionPlus,F122022,10,200000,2866.684205106602,0.8845881988470209,2865.721819623755,2867.9610798360295,3.246790195865921,266.3247660322165,15.58768284562814,35.084927045523294,0.4232720909886264,84.41231715437186,0.9945134561093484,49.50133027447971,0.014100000000000001,805.6,0.054025000000000004
AdaptiveDifferentialEvolutionPlus,F22022,10,200000,405.1731537029491,1.9780532913288367,402.0773115787237,407.0777818593078,6.534807010426343,275.4891601610284,31.032201320982814,68.20219507391174,0.2887389076365454,68.96779867901719,0.9942281783503057,373.6679364336019,0.011425000000000001,599.8,0.036375000000000005
AdaptiveDifferentialEvolutionPlus,F32022,10,200000,600.0,0.0,600.0,600.0,1.2467607275193018,278.2110850363593,2.1422651998458577,2.9548631217966337,0.9673790776152981,97.85773480015413,0.9953779288464603,0.023885941483815114,0.014775,6045.4,0.755675
AdaptiveDifferentialEvolutionPlus,F42022,10,200000,822.9256179092896,5.450269852825038,813.8499918883591,827.4623726235851,13.084250546091898,233.08379903833853,52.94143844057569,124.38278085579687,0.09068866391701037,47.05856155942432,0.9947474658185756,24.066016601445874,0.00255,3451.6,0.343175
AdaptiveDifferentialEvolutionPlus,F52022,10,200000,900.0000842226531,0.0001015071844312726,900.0000017138206,900.0002458081908,9.32958089934497,243.25115382573458,33.01298371063899,63.758090344751224,0.22764654418197727,66.98701628936101,0.9950712882838462,0.42462350165626317,0.0103,646.0,0.041075
AdaptiveDifferentialEvolutionPlus,F62022,10,200000,3969.5156911309423,1402.7362661115267,2780.970566108268,5902.926597250648,4.847803712399659,270.6254420993593,42.67360559746235,102.6927340758732,0.07541557305336832,57.32639440253765,0.9925535235314109,361685619.61857593,0.008624999999999999,1674.2,0.09905
AdaptiveDifferentialEvolutionPlus,F72022,10,200000,2000.5260917502346,0.5394686437348789,2000.2048195998918,2001.4869402050585,8.014008794901851,255.72254278026716,53.31362139807395,126.96221088500332,0.049218847644044494,46.68637860192605,0.9942752231198465,248.1486125551024,0.013325,904.6,0.03622499999999999
AdaptiveDifferentialEvolutionPlus,F82022,10,200000,2205.804810395616,4.327033792934867,2202.9962640521258,2213.401509328892,10.451810563722242,249.32025644497963,57.41246798530291,138.29538853122705,0.032395950506186724,42.58753201469709,0.9901658368023698,2.073941297086587e+18,0.007475,1114.8,0.047325
AdaptiveDifferentialEvolutionPlus,F92022,10,200000,2600.0587205732263,147.99295326947657,2335.344686792586,2667.821446652412,8.147871862715485,280.951755175367,35.134563789276534,73.63192435503478,0.1340832395950506,64.86543621072346,0.9943964988423044,135.85254649638418,0.0078,1027.0,0.04285
AdaptiveDifferentialEvolutionWithAdaptivePerturbation,F102022,10,200000,2621.405281366081,0.6608354339992382,2620.9700284875644,2622.552849404004,24.342866521048883,285.60749536939085,17.662525799287423,24.458427253018243,0.5968911917098445,82.33747420071259,0.891522410777851,94.75161010312222,0.09922077922077922,48.8,0.030129870129870128
AdaptiveDifferentialEvolutionWithAdaptivePerturbation,F112022,10,200000,2600.413896750296,0.22727346710412377,2600.2653345149774,2600.817311956341,21.972029981037412,280.7741409469759,18.774734408281716,20.266972546492102,0.6186528497409326,81.22526559171828,0.8879706004778056,453.93997101377016,0.10857142857142857,50.0,0.08363636363636365
AdaptiveDifferentialEvolutionWithAdaptivePerturbation,F12022,10,200000,300.3465341963355,0.17659393813862875,300.1815369623932,300.63783636957675,43.76770404306953,266.5654724969137,33.968741343444876,55.37568736200295,0.4875647668393782,66.03125865655512,0.8728519556970886,9542011.827903543,0.0877922077922078,40.4,0.04831168831168831
AdaptiveDifferentialEvolutionWithAdaptivePerturbation,F122022,10,200000,2865.9166550234318,0.3513394141663979,2865.4356170099936,2866.4267564448282,13.686897666763173,302.01573229725466,12.763101080453284,12.399491010384464,0.8538860103626943,87.23689891954672,0.8909132218984446,164.9087711902346,0.08155844155844157,73.4,0.02805194805194805
AdaptiveDifferentialEvolutionWithAdaptivePerturbation,F22022,10,200000,405.7290075078137,1.8377271724727278,404.4463091189534,408.9204169575894,21.46520806128303,285.9764786649668,21.52108504273572,22.364415652956374,0.482901554404145,78.47891495726428,0.8862175550953157,1219.546332379776,0.09090909090909091,75.8,0.10961038961038963
AdaptiveDifferentialEvolutionWithAdaptivePerturbation,F32022,10,200000,600.0000058467951,2.0504409656768663e-06,600.000003514285,600.0000088802811,20.903299075504965,275.7747313643473,14.180440955378685,17.843113074398588,0.7989637305699482,85.81955904462131,0.9085950555762506,0.061809570331318474,0.10181818181818181,63.0,0.02805194805194805
AdaptiveDifferentialEvolutionWithAdaptivePerturbation,F42022,10,200000,858.851437235239,12.370029468223969,838.0,869.1963103478607,89.70720462791789,244.13492950152175,68.77776540709438,150.82537511594714,0.0025906735751295338,31.222234592905625,0.8972767919767118,52.92375588492124,0.016623376623376623,212.4,0.39584415584415583
AdaptiveDifferentialEvolutionWithAdaptivePerturbation,F52022,10,200000,900.0007069378,0.00041723922442943627,900.0002987733228,900.0012914809646,31.886047897295136,259.22883768742406,22.951197584090202,34.481042697829636,0.6435233160621762,77.0488024159098,0.9025109791954776,0.9344814706687318,0.08987012987012988,51.2,0.030129870129870128
AdaptiveDifferentialEvolutionWithAdaptivePerturbation,F62022,10,200000,28872.17990827164,11798.032116255938,10987.282718725482,41858.33391541013,53.46337232121063,285.11102939757046,60.35790002333097,96.1345637512811,0.0036269430051813476,39.64209997666903,0.8580678253784229,517592049.6459597,0.06441558441558441,72.8,0.040519480519480525
AdaptiveDifferentialEvolutionWithAdaptivePerturbation,F72022,10,200000,2052.419986777347,47.43938272244946,2023.4076150037995,2136.6466987674107,46.93437447797314,268.318745414818,56.44764534659545,101.2559574677588,0.018134715025906738,43.55235465340456,0.8859393348236775,2403.54094145745,0.04831168831168831,134.2,0.1761038961038961
AdaptiveDifferentialEvolutionWithAdaptivePerturbation,F82022,10,200000,2274.2382877267787,106.86337860213426,2223.7179274138875,2465.380262765992,52.04924066993713,285.61348838778065,65.55833356861145,145.4632973257021,0.010362694300518133,34.441666431388555,0.8237711771349527,9.90898717320363e+17,0.036883116883116886,169.2,0.32987012987012987
AdaptiveDifferentialEvolutionWithAdaptivePerturbation,F92022,10,200000,2659.422165769217,0.6231010853346876,2659.0966913385055,2660.5326795025135,26.71077913854062,296.8113454066346,30.24595330650007,32.132774837465284,0.29430051813471503,69.75404669349993,0.8881182831995874,498.2410490252946,0.0903896103896104,51.6,0.03532467532467533
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F102022,10,200000,2663.195601439381,15.366444423771789,2645.27680080368,2680.846830635547,107.69738444205896,141.81299025210515,100.0,315.6318265688867,0.00012498437695288088,0.0,0.9945085211298774,286.8795085556712,0.001675,3852.6,0.481575
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F112022,10,200000,2663.9450088398016,14.262346234996558,2645.7482272205907,2682.234276711634,45.10528203081704,183.85250057068703,76.99090514128939,330.9082150400569,0.00012498437695288088,23.00909485871062,0.9941725933942382,7223.51009753717,0.002075,3701.8,0.2805
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F12022,10,200000,10132.989576768454,1356.5956906278404,9218.547315750408,12442.264445427532,106.60165157013012,156.56194564915535,100.0,306.3518425371018,0.00012498437695288088,0.0,0.9936408946021403,22286006.178854458,0.0010500000000000002,3962.2,0.300125
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F122022,10,200000,2868.7704301098374,0.28111242115119023,2868.4077888608645,2869.0723238189644,46.14429645854385,189.04821434928652,89.46843377686416,181.24391800160282,0.002199725034370704,10.53156622313584,0.9945338616825717,190.772960151523,0.002,3816.0,0.349775
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F22022,10,200000,452.1144575183479,10.475077260064818,444.33560775595527,465.138299510534,76.41049392763394,182.7932195661048,97.73818585453824,199.46062262714378,0.00012498437695288088,2.2618141454617584,0.9943197778023114,1112.0777835989038,0.0019,3848.2,0.4163
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F32022,10,200000,600.000000185806,2.928418918921909e-07,600.0000000089059,600.000000702566,69.69350259049318,183.81288521321608,73.06521508879293,132.06438546382037,0.11641044869391326,26.93478491120708,0.9954165519132234,0.03340543355272999,0.008324999999999999,6114.2,0.7642749999999999
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F42022,10,200000,877.4005040538207,20.022688545072516,850.1924894028311,893.6737446496137,108.15313975549768,147.81919717876104,100.0,263.6140054611199,0.0001249812531244142,0.0,0.994807756159463,45.85590674463871,0.000999981252343457,4967.0,0.5055813117110362
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F52022,10,200000,902.0760202214271,0.7403726316953942,900.8314910917011,902.74462846378,110.82557259012022,145.15285496970094,100.0,269.46487841479603,0.00012498437695288088,0.0,0.9950669951155122,2.756218360621655,0.0017000000000000001,3655.4,0.33609999999999995
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F62022,10,200000,91912.12296715772,35775.9335093112,61388.10834292009,150214.19406303426,82.25271957732365,183.4883486113433,100.0,263.7488818751984,0.00024996563007729513,0.0,0.9926357155306211,708438240.5799129,0.002074946881639795,6407.0,0.800852749656293
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F72022,10,200000,2032.9466963381124,5.36573825979642,2026.1945349951573,2040.475886216077,92.24584389435798,170.0913376291216,100.0,290.0198760199596,0.00014998125234345704,0.0,0.9942769158780026,1459.1435577046846,0.00195,6491.6,0.81145
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F82022,10,200000,2314.802608101909,67.05644658609482,2255.4227111907217,2411.3383206330236,96.57359491082181,175.88598233458654,100.0,325.4344842422912,0.00014998125234345704,0.0,0.9906855080565096,4.865876487247013e+17,0.00215,5476.4,0.5240750000000001
AdaptiveDifferentialEvolutionWithDynamicPopulationV2,F92022,10,200000,2710.9588720025927,5.341530927817583,2704.8967174724903,2718.73152892497,79.23295979631227,183.500922051317,100.0,300.638456017462,0.000974878140232471,0.0,0.9943829352154678,862.3504027055855,0.00135,3543.6,0.357375
AdaptiveDifferentialEvolutionWithGradientBoost,F102022,10,200000,2624.5015799312905,4.328810338427418,2621.1220579261535,2630.7825462801698,12.40247119206857,308.16931784230235,8.118928474324665,7.313459258973959,0.8861618798955615,91.88107152567534,0.891418646331581,55.82324739585097,0.15706806282722513,32.8,0.016230366492146597
AdaptiveDifferentialEvolutionWithGradientBoost,F112022,10,200000,2950.842750515252,480.41033858470826,2600.0005589864836,3477.2869534987167,9.879512678769487,333.4218861688009,7.043080933436118,3.3557306440307473,0.895481880087296,92.95691906656387,0.8850105832312739,948.1599509469868,0.15766402481757844,41.8,0.050129623235904405
AdaptiveDifferentialEvolutionWithGradientBoost,F12022,10,200000,300.00000575646015,2.6850436562110007e-06,300.0000027742842,300.0000081051403,15.47645829292872,289.6990309346812,11.383679352099522,12.071555085784656,0.8579634464751958,88.61632064790048,0.8769423196296658,607931.5477478204,0.16806282722513088,23.4,0.016230366492146597
AdaptiveDifferentialEvolutionWithGradientBoost,F122022,10,200000,2869.0197496694323,2.006847370591679,2866.974050186055,2871.7935885306656,9.1975256882987,356.43646303632966,6.313047259538364,2.308026301214351,0.8971576909012617,93.68695274046163,0.8897661976834966,114.09018530436815,0.12933484643141602,48.2,0.042424867048686976
AdaptiveDifferentialEvolutionWithGradientBoost,F22022,10,200000,405.98827067821514,2.6730328680973834,403.99056525941535,408.9161019795465,12.45225576462364,332.1531003980477,14.271587878279146,7.397535099900276,0.4736383846185392,85.72841212172085,0.8869323621491375,348.47108688727036,0.15028278738270234,33.4,0.02096027263607756
